Event,Site,Date,Round,White,Black,Result,ECO,Moves
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Topalov,V","Abulhul,T",1-0,A17,Nf3 Nf6 c4 e6 Nc3 Bb4 Qb3 c5 g3 O-O a3 Bxc3 Qxc3 b6 Bg2 Bb7 b4 d6 O-O Nbd7 d3 Rc8 e4 Qc7 b5 Rfe8 Re1 h6 Bh3 Rcd8 Ra2 Bc8 a4 e5 a5 Nf8 Bxc8 Rxc8 Bb2 Qd7 axb6 axb6 Nh4 Qh3 f3 Ne6 Qd2 Nh5 Nf5 Ng5 Qe3 Re6 Rf1 Kh7 Bc1 Rg6 Qf2 Re8 Qg2 Qxg2+ Kxg2 Ne6 Kf2 Ng5 Bxg5 hxg5 Ra7 Rf6 Ne3 Rb8 Rfa1 Kg6 Rd7 Re6 Raa7 Rf8 Rdb7 Nf6 Rxb6 Rh8 Kg2
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Adams,Mi","Asabri,Hu",1-0,C65,e4 e5 Nf3 Nc6 Bb5 Nf6 d3 d6 c3 Bd7 O-O g6 Re1 Bg7 Nbd2 O-O Nf1 Nh5 Bg5 Qe8 Ne3 h6 Bh4 g5 Bg3 Nxg3 hxg3 Ne7 Bc4 a5 a4 Be6 Qb3 Qd7 Rad1 Bxc4 dxc4 b6 g4 Rfe8 Nh2 Ng6 Nhf1 Nf4 Ng3 Kh7 f3 Rh8 Kf2 Kg6 Rh1 Qc6 Ngf5 Bf6 g3 Qc5 Qc2 Ne6 Rd5 Qc6 Rd2 Rae8 Ke1 Nc5 Rdh2 h5 Rxh5 Rxh5 Rxh5
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Solomon,K","Grischuk,A",0-1,D18,d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 e3 e6 Bxc4 Bb4 O-O Nbd7 Nh4 Bg6 h3 Bh5 g4 Nd5 Ng2 Bg6 Bd2 Nxc3 bxc3 Bd6 Qb3 Qb6 Nf4 Bxf4 exf4 O-O Bxe6 Bd3 Qxb6 Nxb6 Bb3 Bxf1 Kxf1 Rad8 Ke2 Rfe8+ Be3 Nd5 Kd3 g6 Bd2 Rd7 Rb1 b6 c4 Nc7 f5 Red8 Bc3 Rxd4+ Bxd4 c5 fxg6 hxg6 Re1 Ne6 Kc3 Rxd4 a5 Rf4 axb6 axb6 Bc2 Nd4 Re8+ Kg7 Re3 b5 cxb5 Nxb5+ Kd2 Rxf2+ Kc1 Nd4 Bd1 Rh2 g5 Ne6 Re5 Nf4 Bc2 Rxh3 Rxc5 Ne6 Ra5 Rg3 Kd2 Rxg5 Ra7 Rg2+ Kc3 Re2 Bd3 Re5 Bc4 g5
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Ivanchuk,V","Arab,A",1-0,B63,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 d6 Bg5 e6 Qd2 Be7 O-O-O O-O Nb3 a6 Bxf6 Bxf6 Qxd6 Bxc3 bxc3 Qf6 Qg3 e5 Bc4 Be6 Bd5 Qe7 Rd3 a5 Rhd1 a4 Nd2 b5 Kb2 Bxd5 exd5 Na5 d6 Qb7 Qf3 Nc4+ Ka1 Qb6 Nxc4 bxc4 Rb1 Qxb1+ Kxb1 cxd3 Qxd3 a3 c4 Ra5 Kc1 Rc8 d7 Rd8 c5 Rxc5 Qd6 Ra5 Qe7 Raa8 c4
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Kadhi,H","Short,N",0-1,C45,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 Qf6 Qd2 dxc6 Nc3 Ne7 Qf4 Be6 Na4 Qxf4 Bxf4 Bd6 Bxd6 cxd6 O-O-O O-O-O Nc3 f5 exf5 Bxf5 Bd3 Rhf8 Rhe1 Ng6 f3 d5 g3 Kc7 f4 Bxd3 Rxd3 Rde8 Rdd1 Nh8 Ne2 Nf7 Nd4 Rg8 b3 g6 c4 dxc4 Ne6+ Kc8 bxc4 Re7 Nc5 Rge8 Rxe7 Rxe7 Rd2 b6 Nd3 Re4 c5 Kc7 cxb6+ axb6 Rf2 c5 Ne5 Nd6 Rd2 g5 Rf2 gxf4 gxf4 Nf5 Rd2 Nd4 Rg2 Ne2+ Kb2 Nxf4 Rg7+ Kd6 Nf7+ Kd5 Rxh7 b5 Rh8 Re2+ Kb1 c4 Rd8+ Kc5 Ng5 Kb4 Rd4 Nd3 Ne4 Rb2+ Ka1 Rxh2 Kb1 Rb2+ Ka1 Rc2
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Malakhov,V","Haznedaroglu,K",1-0,D12,Nf3 d5 c4 c6 e3 Nf6 d4 Bf5 Nc3 e6 Nh4 Bg6 Be2 Nbd7 O-O Bd6 h3 O-O Nxg6 hxg6 Qc2 dxc4 Bxc4 Qe7 Bd2 c5 dxc5 Bxc5 Rfd1 Rac8 Be2 Rfd8 Be1 Bb6 Rac1 Ne5 Qb3 Rxd1 Rxd1 Qc7 Nb5 Qc2 Qxc2 Rxc2 Kf1 Nc6 Rb1 Rc5 Nc3 Ne7 Na4 Rc6 Bb5 Rc8 Nxb6 axb6 f3 Nf5 Bf2 Nd6 Bd3 Nd5 a3 b5 g3 Nc4 e4 Nf6 Ke2 Ne5 Bxb5 Rc2+ Ke3 g5 g4 Ng6 Bd3 Rc8 Bg3 Nd7 Rd1 e5 Bc4 Rxc4 Rxd7 Rc2 Rxb7 Rg2 Bf2 Nf4 Rd7 Rh2 a4 Ng2+ Ke2 Nf4+ Kf1 Rh1+ Bg1 Rxh3 a5 Rxf3+ Ke1 Ng2+ Ke2 Rb3 a6 Nf4+ Kd1
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Dableo,R","Nisipeanu,LD",1/2-1/2,A36,g3 g6 Bg2 Bg7 e4 c5 Ne2 Nc6 d3 Nf6 c4 O-O O-O d6 Nbc3 a6 h3 Rb8 f4 Bd7 Be3 b5 Qd2 Ne8 Rab1 Nd4 g4 b4 Nd1 e6 Bf2 f5 exf5 exf5 g5 Qa5 b3 Nc7 Ne3 Nxe2+ Qxe2 Rfe8 Qc2 Bc3 Nd5 Nxd5 Bxd5+ Be6 Bf3 Rbd8 Be1 Bd4+ Bf2 Bc3 Be1 d5 Rc1 Bd4+ Bf2 dxc4 dxc4 Qc7 Bxd4 Rxd4 Qh2 Bf7 Rcd1 Qxf4 Qxf4 Rxf4 Kf2 h6 gxh6 Rh4 Bg2 Rxh6 Rfe1 Rh7 Rxe8+ Bxe8 Rd8 Re7 Rc8 Re5 Bd5+ Kg7 Rxc5 g5 Rc7+ Kf6 Ra7 Re7 Rxa6+ Ke5 a3 bxa3 b4 Bf7 Bxf7 Rxf7 Rxa3 Kd4 Rg3 Kxc4
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Sokolov,I","Simutowe,A",1-0,D27,d4 d5 Nf3 Nf6 c4 dxc4 e3 e6 Bxc4 c5 O-O a6 a4 Nc6 Nc3 cxd4 exd4 Be7 Re1 O-O Bf4 Nd5 Bg3 Ncb4 Ne5 b6 Nxd5 exd5 Bb3 Bf5 Qf3 Be6 Rac1 Rc8 Rc3 Bg5 Bf4 Qf6 Bxg5 Qxg5 Qe2 Qf4 Qd1 Qh6 h3 Rfe8 Rce3 Red8 Qe2 Qh4 Qd2 a5 Rc3 Qe7 Rec1 Qd6 Qe2 Rxc3 bxc3 Nc6 Ng4 Qa3 Rb1 Qd6 Ne3 Ne7 Bc2 Rc8 Qa6 Rc6 Qa8+ Rc8 Qa7 Rc6 c4 g6 cxd5 Nxd5 Be4 Rc7 Qb8+ Kg7 Bxd5 Rc1+ Rxc1 Qxb8 Bc6 Qd6 d5 Bc8 Rb1 Qc5 Rd1 Ba6 d6 Bc8 Bb5 f5 d7 Bxd7 Rxd7+ Kh6 g3 Qc1+ Kg2 Qb1 Rd4 Qb2 Rd6 Qe5 Rxb6 Qe4+ Kg1 f4 gxf4 Qxf4 Rc6 Qg5+ Kf1 Qh5 Ng4+ Kg7 Rc7+ Kf8 Rc3 Qd5 Re3 Qh1+ Ke2 Qa1 Ne5 Qb2+ Kf3 Kg7 Kg2 Qd2 Nd3 Kf6 Re5 Qc3 Rd5 h5 Re5 Qd4 Re3 Qd5+ Kg1 g5 Rg3 Qe4 Re3 Qd5 Be8 Qd4 Bc6 Qa1+ Kg2 Qd4 Ne5 Kg7 Nf3
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Tissir,M","Dreev,A",0-1,B56,e4 c5 Nf3 d6 d4 Nf6 Nc3 cxd4 Nxd4 Nc6 f3 e5 Nb3 Be7 Be3 O-O Be2 a5 Bb5 Na7 Be2 Be6 Nd5 Bxd5 exd5 a4 Nc1 Qa5+ Bd2 Qxd5 O-O Qd4+ Kh1 Qxb2 Nd3 Qb6 c4 Nc6 Rc1 Rfd8 Qe1 d5 c5 Qc7 Qg3 Re8 Bd1 Nd7 Re1 Bf8 Bc2 g6 Bb1 Bg7 a3 Nf6 Ba2 Qd7 Nxe5 Rxe5 Rxe5 Nxe5 Qxe5 Ne4 Qf4 Nf2+ Kg1 Nd3
FIDE WCh KO,Tripoli LBA,2004.06.19,1.1,"Akopian,Vl","Gonzalez Garcia,J",1-0,C07,e4 e6 d4 d5 Nd2 c5 exd5 Qxd5 Ngf3 cxd4 Bc4 Qd6 O-O Nf6 Nb3 Nc6 Nbxd4 Nxd4 Nxd4 a6 Bb3 Qc7 Qf3 Bd6 h3 O-O Bg5 Nd7 c3 b5 Rfe1 Bb7 Qh5 Nc5 Bc2 g6 Qh4 Rfe8 Re3 Be7 Rae1 Rad8 b4 Bxg5 Qxg5 Rd5 Nf5 Na4 Qh6 Rxf5 Bxf5 Bd5 h4 Qd6 h5 Qf8 Qg5 Qe7 Qg3 Qf6 Be4 Bxe4 Rxe4 Qxc3 Qd6 Qc8 Rd4 Nc3 Qe5 Qb8 Rd6 f6 Qc5 Rc8 Rc6
