Event,Site,Date,Round,White,Black,Result,ECO,Moves
FIDE-Wch,Elista,1996.??.??,1,"Karpov, Anatoly","Kamsky, Gata",1-0,D98,d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 Nc6 Be2 Bg4 Be3 Bxf3 Bxf3 e5 d5 Nd4 Bd1 b5 Nxb5 Nxe4 O-O a6 Nc3 Nd6 Qd3 Qh4 g3 Qh3 Bxd4 exd4 Ne2 Qf5 Nf4 Rfb8 Qxf5 Nxf5 Nd3 Bh6 Re1 a5 Bg4 Nd6 Re2 a4 a3 Ra5 Rc2 Rxd5 Rxc7 Ra5 Bf3 Bg5 Rd1 Rc8 Rxc8+ Nxc8 h4 Bf6 Rc1 Nd6 Kf1 Be7 Ke2 Kf8 Rc7 Bf6 Kd2 h5 Ke2 Nf5 Rc4 Nd6 Rb4 Ra6 Nc5 Ra7 Kd3 Rc7 Nxa4 Rc1 Nb6 Bg7 a4 Ra1 Nd7+ Ke8 Nc5 Ke7 Kc2 Rf1 Nd3 Ra1 Kb3 f5 Rb6 Bh6 Bd5 g5 Ra6 gxh4 gxh4 Rd1 Bc4 Rh1 a5 Rxh4
FIDE-Wch,Elista,1996.??.??,2,"Kamsky, Gata","Karpov, Anatoly",1-0,B14,e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 e6 Nf3 Bb4 cxd5 Nxd5 Bd2 Nc6 Bd3 Be7 O-O O-O Qe2 Nf6 Ne4 Bd7 Rad1 Rc8 Rfe1 Nd5 Nc3 Nf6 a3 Qc7 Bg5 Qa5 d5 exd5 Bxf6 Bxf6 Bxh7+ Kxh7 Rxd5 Bxc3 Rxa5 Bxa5 b4 Kg8 bxa5 Bg4 a6 bxa6 Qe4 Bxf3 Qxf3 Rfe8 Ra1 Re6 h3 Rd8 Qc3 Rdd6 Rb1 Rd7 Qc4 a5 Rb5 Rd1+ Kh2 Rd2 Rf5 Rd4 Qc3 Rdd6 Rc5 Rf6 Rc4 Rfe6 Rc5 Rf6 Qe3 Rfe6 Qg3 Rg6 Qb3 Rgf6 Qb7 Rfe6 Qc7 Rf6 f4 g6 f5 gxf5 Rxf5 Rde6 Rh5 Rh6 Qg3+ Kf8 Rd5 Rhg6 Qf2 Rgf6 Qb2 Ke7 Rh5 Rh6 Rb5 Rhf6 Qc3 Kf8 Rh5 Rh6 Rf5 Rhg6 Qf3 Rg7 Qf4 Kg8 Qc7 Kf8 Qc8+ Ke7 Rd5 Kf6 Qh8 Re4 Rh5 Ne7 Rh7
FIDE-Wch,Elista,1996.??.??,3,"Karpov, Anatoly","Kamsky, Gata",1/2-1/2,E15,d4 Nf6 c4 e6 Nf3 b6 g3 Ba6 b3 Bb4+ Bd2 Be7 Bg2 c6 Bc3 d5 Ne5 Nfd7 Nxd7 Nxd7 Nd2 O-O O-O Rb8 Re1 b5 c5 e5 dxe5 Nxc5 a3 Ne6 b4 d4 Bb2 c5 bxc5 Bxc5 Ne4 Be7 e3 dxe3 Rxe3 Qxd1+ Rxd1 Bb7 Rd7 Bxe4 Rxe7 Bxg2 Kxg2 a5 Ra7 Ra8 Rxa8 Rxa8 Rb3 Rb8 Bc3 a4 Rb1 Rc8 Ba5 Rc5 f4 f6 exf6 gxf6 Rd1 Kf7 Rd7+ Kg6 Kf3 Rc4 Ke3 Nc5 Rd5 Kf7 Bb6 Rc3+ Kd4 Rc4+ Ke3 Rc3+ Ke2 Ne4 Rxb5 Rxa3 Ra5 Kg6 Bd4 h5 Be3 f5 Ra6+ Kf7 Ra5 Kg6
FIDE-Wch,Elista,1996.??.??,4,"Kamsky, Gata","Karpov, Anatoly",0-1,B14,e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 e6 Nf3 Bb4 cxd5 Nxd5 Bd2 Nc6 Bd3 Be7 O-O O-O Qe2 Nf6 Ne4 Qb6 a3 Bd7 Rfd1 Rad8 Nxf6+ Bxf6 Qe4 g6 Be3 Ne7 Ne5 Nf5 Nc4 Qa6 a4 Bc6 Qf4 Bd5 Ne5 Qb6 Bxf5 exf5 Rd2 Bg7 h4 Rfe8 Qg3 Rc8 Nd7 Qc6 Nc5 b6 Nd3 Qd7 a5 Re4 Nf4 b5 Rdd1 Bc4 Rac1 h6 Rc3 b4 Rc2 Rc6 Rdc1 Bb5 Kh2 Kh7 Rxc6 Bxc6 Rc4 Bf8 Nd3 Qe6 d5 Bxd5 Rxe4 Bxe4 Bxa7 Bd6 Nf4 Qe5 Nh3 Qe7
FIDE-Wch,Elista,1996.??.??,5,"Karpov, Anatoly","Kamsky, Gata",1/2-1/2,D97,d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 a6 e5 b5 Qb3 Nfd7 e6 fxe6 Qxe6+ Kh8 Qe4 Nb6 Qh4 Nc6 Bd3 Rxf3 gxf3 Nxd4 Be4 Bf5 Be3 c5 Bxd4 cxd4 Rd1 Rc8 Rg1 Bf6 Qh6 Bg7 Qh4 Bf6 Qh6 Bg7
FIDE-Wch,Elista,1996.??.??,6,"Kamsky, Gata","Karpov, Anatoly",0-1,C43,e4 e5 Nf3 Nf6 d4 Nxe4 Bd3 d5 Nxe5 Nd7 Nxd7 Bxd7 O-O Bd6 Nc3 Qh4 g3 Nxc3 bxc3 Qg4 Re1+ Kd8 Be2 Qf5 Rb1 b6 c4 dxc4 Bxc4 Re8 Be3 Bc6 d5 Bd7 Bf1 h6 c4 Re7 Bd3 Qf6 Kg2 Ke8 Bc2 Qc3 Bb3 Kf8 Rc1 Qf6 Bc2 Rae8 Qd3 Bg4 Bd2 Re2 Rxe2 Rxe2 Rf1 Rxd2
FIDE-Wch,Elista,1996.??.??,7,"Karpov, Anatoly","Kamsky, Gata",1-0,E97,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 e5 O-O Nc6 d5 Ne7 b4 Nh5 Re1 h6 Nd2 Nf4 Bf1 a5 bxa5 Rxa5 Nb3 Ra8 c5 f5 cxd6 cxd6 Nd2 g5 Rb1 g4 Qb3 fxe4 Ndxe4 Kh8 Be3 Nf5 Bb6 Qe7 Qb4 Rf7 a4 Bf8 Be3 Nh5 Rbc1 Nf6 Bb6 h5 Nxf6 Qxf6 Ne4 Qg6 a5 Ng7 Bb5 Bf5 Ng3 Bc8 Rc3 h4 Bd3 Nf5 Nxf5 Bxf5 Bxf5 Qxf5 Rc4 Rg7 Qb1 Qh5 Qd1 h3 Ree4 hxg2 Rxg4 Rh7 h4 Be7 f3 Rg8 Bf2 Rhg7 Qe2 Bd8 Be1 Qf7 Qd3 Qh5 Qe4 Qh6 Qf5 Bxa5 Rxg7 Bb6+ Kxg2 Qxg7+ Rg4 Qe7 Qh5+ Qh7 Rxg8+ Kxg8 Qe8+ Kg7 Qe7+ Kh8 Qxd6 Qg7+ Bg3 Bc7 Qe6 Kh7 d6 Bd8 Qf5+ Kh6 Kh3 Qf6 Qxf6+ Bxf6 Kg4 b5 Kf5 Bd8 Kxe5 Kg6 Kd5 b4 Kc4 Ba5 Kb3 Kf5 Ka4 Ke6 h5
FIDE-Wch,Elista,1996.??.??,8,"Kamsky, Gata","Karpov, Anatoly",1/2-1/2,B17,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Ng5 Ngf6 Bd3 e6 N1f3 Bd6 Qe2 h6 Ne4 Nxe4 Qxe4 Nf6 Qe2 Qc7 Bd2 b6 O-O-O Bb7 Ne5 c5 Bb5+ Ke7 dxc5 Qxc5 a3 Qc7 Bf4 Nd5 Bg3 Rhd8 Rd4 Kf8 Kb1 a6 Rc4 Qe7 Nc6 Bxc6 Bxc6 Ra7 Bxd5 exd5 Bxd6 Qxd6 Rd4 b5 Qd3 Kg8 g3 Qe6 Rd1 Rad7 h4 Rd6 Rd2 Qe1+ Ka2 Qe7 Qf3 Qe6 Re2 Qc8 Qd3 Rc6 Kb1 Re6 Re3 Qc6 Qd2 Rxe3 Qxe3 Qe6 Qd2 Rd6 g4 Qf6 g5 Qf3 Ka2 Qf5 c3 Qf3 Rf4 Qh3 gxh6 Qe6 Qd4 Qxh6 Rf5 Qe6 Re5 Qd7 Ka1 f6 Re3 Rc6 h5 Rc4 Qb6 d4 Rd3 Qf5 Rxd4 Rxd4 cxd4 Qxf2 Qe6+ Kf8 Qd6+ Kf7 Qd7+ Kf8 Qd6+ Kf7 Qd7+
FIDE-Wch,Elista,1996.??.??,9,"Karpov, Anatoly","Kamsky, Gata",1-0,D97,d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 Qb3 dxc4 Qxc4 O-O e4 a6 e5 b5 Qb3 Nfd7 Be3 c5 e6 c4 exf7+ Rxf7 Qd1 Nb6 Ne5 Rf8 a4 b4 a5 bxc3 axb6 cxb2 Bxc4+ Kh8 Rb1 Qxb6 Qd2 Nd7 Rxb2 Nxe5 Rxb6 Nxc4 Qb4 Nxb6 Qxb6 a5 O-O a4 Ra1 Bf5 h4 e6 Bf4 Be4 Bd6 Rfc8 Qb5 Bc6 Qb4 Kg8 Ra3 Ra6 Qc4 Rca8 Qxe6+ Kh8 Be5 Bxe5 Qxe5+ Kg8 h5 Be8 h6 R6a7 d5 Rb7 d6 Rd8 Rf3
FIDE-Wch,Elista,1996.??.??,10,"Kamsky, Gata","Karpov, Anatoly",1-0,E12,d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5 cxd5 Nxd5 Bd2 Nd7 Qc2 c5 Nxd5 exd5 dxc5 bxc5 e3 Be7 Bd3 g6 h4 Qb6 h5 Bf6 Rb1 Rc8 Qa4 Bc6 Qg4 Bb5 Bc2 a5 hxg6 hxg6 Rxh8+ Bxh8 Ng5 Bf6 a4 Bc6 Kf1 Ke7 e4 Qa6+ Kg1 Ne5 Qf4 d4 Nh7 Bh8 Qh4+ f6 f4 Nd7 Re1 Qc4 Bb1 Kd6 e5+ fxe5 fxe5+ Nxe5 Bf4 Qd5 Be4 Qe6 Ng5 Qe7 Bxc6 Kxc6 Bxe5 Bxe5 Qe4+ Kd6 Qxg6+ Kc7 Ne6+ Kd6 Nf4+ Qf6 Qxf6+ Bxf6 Re6+ Kd7 Rxf6 Rb8 Nd3 c4 Ne5+ Ke7 Rf4 Rxb2 Nxc4 Rb4 Rxd4 Rxa4 Kf2 Ra2+ Kf3 a4 Ne3 Ke6 Ke4 Ra1 g4 Ke7 Rd5 Kf6 Ra5 Kg6 Kf4 Kf7 Ra6
