Event,Site,Date,Round,White,Black,Result,ECO,Moves
PCA-World Championship,London,1993.??.??,1,"Kasparov, Gary","Short, Nigel D",1-0,C88,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 O-O a4 b4 d3 d6 a5 Be6 Nbd2 Rb8 Bc4 Qc8 Nf1 Re8 Ne3 Nd4 Nxd4 exd4 Nd5 Nxd5 exd5 Bd7 Bd2 Bf6 Rxe8+ Bxe8 Qe2 Bb5 Re1 Bxc4 dxc4 h6 b3 c5 Bf4 Qd7 h3 Rd8 Qe4 h5 Re2 g6 Qf3 Bg7 Re4 Bf8 Qe2 Qc7 Bg5 Rc8 g4 hxg4 Bf6 gxh3 Qg4 Ra8 Qxh3 Bg7 Bxg7 Kxg7 Rh4 Rg8 Rh7+ Kf8 Qg4 Ke8
PCA-World Championship,London,1993.??.??,2,"Short, Nigel D","Kasparov, Gary",1/2-1/2,B67,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 Nc6 Qd2 e6 O-O-O Bd7 f4 h6 Bh4 g5 fxg5 Ng4 Nf3 hxg5 Bg3 Be7 Be2 Nge5 Kb1 b5 Rdf1 Rc8 Nxe5 Nxe5 Rf2 f6 Rhf1 Bc6 a3 Bb7 h3 Nc4 Bxc4 Rxc4 Qd3 e5 Re2 Qc8 Rf5 Rxc3 bxc3 Qe6 Kb2 Kd7 Rf1 Qc4 Qxc4 bxc4 Ka2 Bc6 Rb1 Bd8 Rb8 Re8 Bf2 Ba5 Rxe8 Kxe8 Kb2 Kf7 Ba7 Ke6 g4 Bd8 Kc1 Be7 Re3 d5 exd5+ Kxd5 Kb2 Ke6 Bb6 Bd6 h4 gxh4 Rh3 e4 Rxh4 Bf4 Rh3 Bg5 Bd4 a5 Rh2 a4 Rh1 Bd7 Rh2 Kd5 Rh5
PCA-World Championship,London,1993.??.??,3,"Kasparov, Gary","Short, Nigel D",1-0,C88,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 O-O a4 Bb7 d3 Re8 Nbd2 Bf8 c3 h6 Ba2 d6 Nh4 Qd7 Ng6 Ne7 Nxf8 Kxf8 f3 Rad8 b4 Ng6 Nb3 Bc8 Bb1 Nh5 axb5 axb5 Be3 Nh4 Ra2 Re6 d4 Rg6 Kh1 Re8 dxe5 Rxe5 g4 Rf6 Bd4 Ng3+ hxg3 Nxf3 Bxe5 Qxg4 Rh2 Nxe1 Qxe1 dxe5 Nd2 Rd6 Bc2 Be6 Kg1 Kg8 Nf1 Qg5 Qe3 Qd8 Rd2 c6 Rxd6 Qxd6 Qc5 Qxc5+ bxc5 h5 Nd2 Kf8 Kf2 Ke7 Bb3 Bd7 Nf3 Kf6 c4 bxc4 Bxc4 Be6 Be2 Bg4 Bd1 g6 Ba4 Bd7 Ne1 Ke6 Bb3+ Ke7 Nd3 f6 Nb4 f5 Ba4 fxe4 Bxc6 Bxc6 Nxc6+ Ke6 Ke3 g5 Kxe4 h4 gxh4
PCA-World Championship,London,1993.??.??,4,"Short, Nigel D","Kasparov, Gary",0-1,B97,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 f4 Qb6 Qd2 Qxb2 Nb3 Qa3 Bxf6 gxf6 Be2 Nc6 O-O Bd7 Kh1 h5 Nd1 Rc8 Ne3 Qb4 c3 Qxe4 Bd3 Qa4 Nc4 Rc7 Nb6 Qa3 Rae1 Ne7 Nc4 Rxc4 Bxc4 h4 Bd3 f5 Be2 Bg7 c4 h3 g3 d5 Bf3 dxc4 Re3 c3 Rxc3 Bxc3 Qxc3 O-O Rg1 Rc8 Qf6 Bc6 Bxc6 Rxc6 g4 Ng6 gxf5 exf5 Qxf5 Qxa2 Qxh3 Qc2 f5 Rc3 Qg4 Rxb3 fxg6 Qc6+
PCA-World Championship,London,1993.??.??,5,"Kasparov, Gary","Short, Nigel D",1/2-1/2,E35,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 d5 cxd5 exd5 Bg5 h6 Bh4 c5 dxc5 g5 Bg3 Ne4 e3 Qa5 Be5 O-O Bd3 Nc6 Bxe4 Nxe5 Bxd5 Bg4 Nf3 Bxf3 Bxf3 Nxf3+ gxf3 Rac8 O-O
PCA-World Championship,London,1993.??.??,6,"Short, Nigel D","Kasparov, Gary",1/2-1/2,B86,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 Bb3 Nbd7 f4 Nc5 f5 Be7 Qf3 O-O Be3 e5 Nde2 b5 Bd5 Rb8 b4 Ncd7 O-O Nxd5 Nxd5 Bb7 Nec3 Nf6 Rad1 Nxd5 Nxd5 Bxd5 Rxd5 Rc8 Qg4 f6 Rf3 Rxc2 Rh3 Rf7 Qh5 h6 Qg6 Kf8 Bxh6 gxh6 Rxh6 Qb6+ Rc5 Bd8 Rh8+ Ke7 Rh7 Rxh7 Qxh7+ Kf8
PCA-World Championship,London,1993.??.??,7,"Kasparov, Gary","Short, Nigel D",1-0,C88,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 O-O a4 Bb7 d3 d6 Nbd2 Nd7 c3 Nc5 axb5 axb5 Rxa8 Bxa8 Bc2 Bf6 b4 Ne6 Nf1 Bb7 Ne3 g6 Bb3 Bg7 h4 Bc8 h5 Kh8 Nd5 g5 Ne3 Nf4 g3 Nxh5 Nf5 Bxf5 exf5 Qd7 Bxg5 h6 Nh4 Nf6 Bxf6 Bxf6 Qh5 Kh7 Ng2 Ne7 Ne3 Ng8 d4 exd4 cxd4 Bxd4 Ng4 Kg7 Nxh6 Bf6 Bxf7
PCA-World Championship,London,1993.??.??,8,"Short, Nigel D","Kasparov, Gary",1/2-1/2,B86,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 Bb3 Nbd7 f4 Nc5 e5 dxe5 fxe5 Nfd7 Bf4 b5 Qg4 h5 Qg3 h4 Qg4 g5 O-O-O Qe7 Nc6 Nxb3+ axb3 Qc5 Ne4 Qxc6 Bxg5 Bb7 Rd6 Bxd6 Nxd6+ Kf8 Rf1 Nxe5 Qxe6 Qd5 Rxf7+ Nxf7 Be7+ Kg7 Qf6+ Kh7 Nxf7 Qh5 Ng5+ Kg8 Qe6+ Kg7 Qf6+ Kg8 Qe6+ Kg7 Bf6+ Kh6 Nf7+ Kh7 Ng5+ Kh6 Bxh8+ Qg6 Nf7+ Kh7 Qe7 Qxg2 Be5 Qf1+ Kd2 Qf2+ Kd3 Qf3+ Kd2 Qf2+
PCA-World Championship,London,1993.??.??,9,"Kasparov, Gary","Short, Nigel D",1-0,E35,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 d5 cxd5 exd5 Bg5 h6 Bh4 c5 dxc5 g5 Bg3 Ne4 e3 Qa5 Ne2 Bf5 Be5 O-O Nd4 Bg6 Nb3 Nxc3 Bxc3 Bxc2 Nxa5 Bxc3+ bxc3 b6 Kd2 bxa5 Kxc2 Rc8 h4 Nd7 hxg5 Nxc5 gxh6 Ne4 c4 Nxf2 Rh4 f5 Rd4 dxc4 Bxc4+ Kh7 Rf1 Ng4 Kd2 Rab8 Rxf5 Rb2+ Kd3 Rxg2 Be6 Rc7 Rxa5 Nf2+ Ke2 Rh2 Kf3 Nh1 Rd7+ Rxd7 Bxd7 Kxh6 Rxa7 Kg5 Ra5+ Kf6 Bc6 Rc2 Rf5+ Ke7 Bd5 Kd6 Rh5 Rd2 Rxh1 Rxd5 a4 Ra5 Ra1 Ke5 e4 Ke6 Ke3 Kd6 Kd4 Kd7 Kc4 Kc6 Kb4 Re5 Rc1+ Kb6 Rc4
PCA-World Championship,London,1993.??.??,10,"Short, Nigel D","Kasparov, Gary",1/2-1/2,B86,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 Bb3 Nbd7 f4 Nc5 Qf3 b5 f5 Bd7 fxe6 fxe6 Bg5 Be7 O-O-O O-O e5 Nfe4 Bxe7 Qxe7 Nxe4 Rxf3 exd6 Nxb3+ Nxb3 Qf8 gxf3 Qxf3 Nec5 Bc6 Rhe1 e5 d7 Rd8 Rd6 a5 a3 a4 Nd2 Qg2 c3 Bd5 Nd3 Bb3 Nxe5 Qxh2 Nc6 Qxd6 Re8+ Kf7 Nxd8+ Kg6 Ne6 Qh2 Nf4+ Kh6 Nd3 Qg1+ Re1 Qg5 Ne5 g6 Rf1 Be6 Nf7+ Bxf7 Rxf7 Qd5 Re7 Qd6 Rf7 Qd3 Ne4 Qe3+ Nd2 Qd3
PCA-World Championship,London,1993.??.??,11,"Kasparov, Gary","Short, Nigel D",1/2-1/2,C45,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 Qf6 Qd2 dxc6 Nc3 Be6 Na4 Rd8 Bd3 Bd4 O-O Ne7 c3 b5 cxd4 Qxd4 Qc2 Qxa4 Qxa4 bxa4 Bc2 Bc4 Re1 Bb5 Be3 Nc8 Bc5 Nb6 Rad1 Rxd1 Rxd1 a6 f4 Nd7 Ba3 h5 Kf2 Rh6 e5 c5 Bf5 Rb6 Rd2 g6 Bc2 Re6 Kg3 Nb6 Bxc5 Nc4 Rd5 Nxb2 f5 Bc6 Rd2 gxf5 Kf4 Nc4 Re2 f6 Bxf5 Rxe5 Bd3 Bd5 Bd4 Rxe2 Bxe2 Ke7 Bxh5 Bxg2 Bd1 a3 h4 Bd5 h5 Ne5 h6 Bxa2 Bc5+ Kf7 Bc2 Bc4 h7 Kg7 Bf8+ Kh8 Be7 Bd3 Bxf6+ Kxh7 Bxe5 Bxc2
PCA-World Championship,London,1993.??.??,12,"Short, Nigel D","Kasparov, Gary",1/2-1/2,B88,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e6 Bb3 Nc6 f4 Be7 Be3 O-O Qf3 Nxd4 Bxd4 b5 Bxf6 Bxf6 e5 Bh4+ g3 Rb8 gxh4 Bb7 Ne4 dxe5 Rg1 g6 Rd1 Bxe4 Qxe4 Qxh4+ Ke2 Qxh2+ Rg2 Qxf4 Qxf4 exf4 Kf3 Rfd8 Rxd8+ Rxd8 Kxf4 Kf8 Ke3 Ke7 c4 h5 a4 bxa4 Bxa4 h4 c5 Rh8 Rc2 h3 Bc6 e5 Kf2 h2 Rc1 a5 Bd5 Rd8 Bg2 Rd2+ Kg3 Kd7 Ra1 f5 Kxh2 Rxb2 Rxa5 e4
PCA-World Championship,London,1993.??.??,13,"Kasparov, Gary","Short, Nigel D",1/2-1/2,D19,d4 d5 c4 c6 Nc3 Nf6 Nf3 dxc4 a4 Bf5 e3 e6 Bxc4 Bb4 O-O Nbd7 Qe2 Bg6 e4 O-O Bd3 Qa5 e5 Nd5 Bxg6 fxg6 Ne4 c5 Nd6 Qa6 Qxa6 bxa6 Ng5 cxd4 Nxe6 Rfb8 Rd1 Nxe5 Rxd4 Rb6 Rxd5 Rxd6 Rxd6 Bxd6 Bf4 Re8 Nd4 Bc5 Nb3 Bb4 Be3 Nd3 Rb1 Rc8 Bxa7 Rc2 Bd4 Kf7 h3 Be7 Rd1 Nxb2 Na1 Nxd1 Nxc2 Bf6 Bxf6
