Event,Site,Date,Round,White,Black,Result,ECO,Moves
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Bezgodov,A","Gulko,B",1/2-1/2,B52,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Qxd7 c4 Nc6 Nc3 g6 d4 cxd4 Nxd4 Nf6 Nde2 Bg7 O-O O-O f3 Qd8 Be3 Rc8 Qd2 a6 Rad1 Qa5 b3 b5 Nd5 Qxd2 Rxd2 bxc4 Nb6 Rb8 Rc1 Ne5 Nxc4 Nxc4 Rxc4 Rfc8 Rdc2 Rxc4 Rxc4 d5 exd5 Nxd5 Bd2 h5 Kf2 Rb6 Nf4 Nxf4 Bxf4 f5 Bc7 Rb5 Rc6 Kf7 Bf4 a5 Rc4 Be5 Ke1 Ke8 Bc1
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Chernin,A","Utnasunov,A",1-0,D46,d4 d5 c4 c6 Nc3 Nf6 e3 e6 Nf3 Nbd7 Qc2 Bd6 Bd3 O-O O-O dxc4 Bxc4 b5 Be2 Bb7 Rd1 Qe7 e4 e5 dxe5 Nxe5 Nd4 g6 Bg5 Rad8 Nb3 b4 Na4 h6 Bh4 Ned7 Na5 Ba8 Nc4 Bb8 f3 c5 b3 g5 Bf2 Nh5 Ne3 Ng7 Rac1 Rc8 Ba6 Rc6 Bb5 Rd6 Nc4 Rxd1+ Rxd1 Rd8 Qd2 Ne6 Bxd7 Bc6 Bxc6 Rxd2 Rxd2 Qf6 Rd1 Nf4 Bd7 Ne2+ Kf1 Nc3 Nxc3 bxc3 Rc1 Qd8 Bf5 Qd3+ Ke1 c2 g3 a5 Bh3 a4 Bf1 Qxf3 Rxc2 Qxe4+ Ne3 axb3 axb3 Be5 Bc4 Bd4 Ke2 g4 Bd5 Qe5 Rd2 Kg7 b4 Bc3 bxc5 Bxd2 Kxd2 Qd4+ Ke2 Kf8 c6 Qc5 Kf1 h5 Be4 Qe5 Bf5 Qb5+ Kg1 Qxc6 h4 Qf3 Bd3 Ke7 Bf1 Qe4 Bg2 Qb1+ Kh2 f5 Nd5+ Kf7 Nf4 Qb2 Bc5 Qh8 Bg1 Ke8 Bf2 Kf7 Bf1 Qb2 Kg1 Qh8 Bc4+ Ke8 Kg2 Qc3 Bd3 Qc6+ Kh2 Qf3 Kg1 Qd1+ Bf1 Kf7 Nxh5 Kg6 Nf4+ Kh6 Ng2 Kg6 Be3 Qf3 Bf4 Qc3 Ne3 Qe1 Kh2 Qf2+ Bg2 Qe2 Bg5 Qf2 Nd5 Kg7 Be3 Qe2 Bd4+ Kh6 Nf4 Qd2 Bc5 Kg7 Bg1 Kh6 Nd5 Kg6 Be3 Qc2 Nf4+ Kh7 Kg1 Qd1+ Kf2 Qc2+ Ne2 Qd3 Bc6 Qc2 Bg2 Kg6 Bf1 Kh7 Kg1 Qd3 Bf2 Qd1 Nf4 Kh6 Ng2 Kg6 Ne3 Qb1 Ng2 Qd1 Be3 Kh7 Bf4 Kg6 Ne3 Qb1 Kh2 Qe1 Bb5 Qf2+ Ng2 Kf7 Bd3 Kg6 Be3 Qf3 Nf4+ Kh6 Bg1 Qd1 Bxf5 Qd2+ Ng2 Qe2 Bd7 Kh7 Be3 Kg6 Be8+ Kg7 Bc6 Qc2 Bb5 Kg6 Bf1 Qd1 Nf4+ Kf6 Be2 Qc2 Kg1 Qe4 Kf2 Qc2 Ng2 Kf5 Bf4 Kg6 Ne3 Qa2 Nxg4 Qa7+ Ne3 Qd4 Kf3 Qc3 Bc4 Qe1 h5+ Kg7 h6+ Kh8 Bf1 Qb1 g4 Qb7+ Kg3 Qe4 Bg2 Qd3 g5 Kh7 Bh3 Qe2 Bf5+ Kg8 h7+
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Bologan,V","Stefansson,H",1/2-1/2,C54,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d3 a6 Nbd2 O-O Bb3 d6 h3 Be6 Nf1 h6 g4 Nh7 Rg1 d5 Qe2 Be7 Bd2 Ng5 Bxg5 Bxg5 exd5 Bxd5 Ng3 Ne7 h4 Bxf3 Qxf3 Bxh4 O-O-O c6 Ne4 Nd5 Kb1 Qe7 d4 Rad8 Rde1 Nf4 Ng3 Bxg3 Rxe5 Qd6 Qxg3 Ng6 Re3 Qxg3 Rgxg3 Rd7 g5 h5 Re4 Re7 Rxe7 Nxe7 g6 Nd5 c4 Nf4 c5 Nd5 gxf7+ Rxf7 Rg5 h4 Rg4
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Lautier,J","Leitao,R",0-1,E45,d4 Nf6 c4 e6 Nc3 Bb4 e3 b6 Ne2 Ba6 Ng3 c5 d5 exd5 cxd5 Bxf1 Kxf1 O-O e4 d6 Bf4 Re8 f3 Bxc3 bxc3 Nfd7 Bxd6 Qf6 Bxb8 Raxb8 Qc2 Ne5 Kf2 c4 Rhb1 b5 Kg1 Nd3 Kh1 b4 cxb4 Rxb4 a3 Rb3 Rf1 Rb2 Qxc4 Nf2+ Rxf2 Rxf2 Rb1 g6 a4 h5 Ne2 Qg5 Rg1 Qe3 Nd4 Rb8 Qc7 Rb6 Qd8+ Kh7 Ne6 Rxg2 Ng5+ Rxg5 Qxg5 Qxf3+ Qg2 Qe3 Rf1 Kg7 Rd1 Rf6 d6 Rf2 Qg3 Qe2 Rc1 Qxe4+ Kg1 Rf3 Qe1 Qd4+ Kg2 Rd3
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Sutovsky,E","Nataf,IA",0-1,B30,e4 c5 Nf3 Nc6 Bb5 e6 Bxc6 bxc6 d3 Ne7 h4 h5 Qe2 f6 e5 fxe5 Qxe5 Nf5 Qe4 Rb8 Ne5 Rb4 c4 d5 Qf3 Qf6 Nxc6 Rb6 Nxa7 Bb7 Qd1 dxc4 Bg5 Qe5+ Kf1 Qd5 Rh2 Bd6 Nc3 Qxd3+ Qxd3 cxd3 Rh3 Rxb2 Nab5 c4 Nxd6+ Nxd6 Re3 Kd7 Na4 Rb5 Rae1 Re8 Bf4 Bc6 Nc3 Rb2 Re5 Rc2 Rc1 Rxc1+ Bxc1 g6 f3 Nf5 Rc5 Bd5 Bf4 Rc8 Ra5 Nxh4 Ra7+ Kc6 a4 Kc5 Bg5 Nf5 g4 hxg4 fxg4 Ng3+ Ke1 Kb4 Bd2 Kb3 Kd1 Rh8 a5 Rh1+ Be1 Rxe1+
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Kunte,A","Milos,G",1/2-1/2,C96,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3 Na5 Bc2 c5 d4 Bb7 d5 Nc4 b3 Nb6 Nbd2 g6 Nf1 Nh5 Bh6 Re8 Qd2 Bf6 Ng3 Nf4 Rac1 Nd7 Bb1 a5 a3 c4 bxc4 bxc4 Bxf4 exf4 Qxf4 Nc5 Ne2 Rb8 Ned4 Nb3 Rcd1 Be5 Qh6 Bg7 Qf4 Be5 Qh6 Bg7 Qf4
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Dizdarevic,E","Psakhis,L",1/2-1/2,A30,c4 Nf6 Nf3 b6 g3 c5 Bg2 Bb7 O-O g6 b3 Bg7 Bb2 O-O d4 cxd4 Qxd4 d6 Rd1 Nbd7 Ne1 Qb8 Nc3 Ne4 Qe3 Nxc3 Bxc3 Bxc3 Qxc3 Nf6 Rac1 Rc8 Qe3 Qc7 Nd3 Bxg2
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Kharlov,A","Hansen,SuB",1/2-1/2,D32,c4 Nf6 Nc3 c5 Nf3 e6 e3 a6 d4 d5 cxd5 exd5 Be2 Nc6 O-O Bd6 dxc5 Bxc5 b3 O-O Bb2 Ba7 Rc1 Be6 Na4 Ne4 Nd4 Qd6 Re1 Rfe8 Bd3 Bd7 Nxc6 Bxc6 Qg4 Qh6 Qf5 Rad8 Bxe4 Rxe4 Nc5 Rh4 h3 Rh5 Qf4 Qg6 Qc7 Re8 Nxb7 Bb5 Qd6 f6 Nd8 Bd3 Kh2 Be4 f3 Bxf3 gxf3 Qf5 Qg3 Rxd8 f4 Bb8 Qf3 Rh4 Kg2 g5 Qg3 Rh6 Qg4 Qxg4+ hxg4 gxf4 exf4 Bxf4 Rc6 Rh2+ Kf3 Bg5 Re2 Rxe2 Kxe2 Re8+ Kd1 Kf7 Rxa6 Re4 Ra4 Rxa4 bxa4 Ke6 Bd4 Bf4 a5 h6 Kc2 f5 a6 Bb8 gxf5+ Kxf5 Kb3 Ke6 Ka4 Kd6 Kb5 Kc7 Bb6+ Kc8 Kc6 Ba7 Bxa7 d4
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Villamayor,B","Minasian,Art",1/2-1/2,B07,d4 g6 e4 d6 c3 Nf6 Bd3 Bg7 Nf3 O-O O-O Nc6 d5 Nb8 c4 Bg4 h3 Bxf3 Qxf3 c6 Nc3 Na6 Bd2 Nd7 Qe2 Rc8 Rac1 Ne5 b3 Nxd3 Qxd3 Re8 Rfd1 Nc5 Qe2 a6 b4 Nd7 Be3 c5 a3 cxb4 axb4 b5 Na2 bxc4 Rxc4 Ne5 Rxc8 Qxc8 Rc1 Qb7 f4 Nd7 Rc6 Nb8 Rb6 Qd7 b5 axb5 Nb4 Rc8 Qxb5 Qxb5 Rxb5 Bc3 Kf2 Kf8 Kf3 Bxb4 Rxb4 Nd7 Bd4 f6 g4 Ra8 g5 fxg5 fxg5 Kf7 Rc4 Ra3+ Kg2 Rd3 Ra4 Rd1 Kf2 Rd2+ Kg3 Rd3+ Kg2 Rd2+
FIDE WCh KO,New Delhi ITA,2000.11.27,1.1,"Van Wely,L","Asrian,K",1/2-1/2,D37,d4 d5 c4 e6 Nf3 Nf6 Nc3 Be7 Bf4 O-O e3 Nbd7 Qc2 c5 cxd5 cxd4 exd4 Nxd5 Nxd5 exd5 Be2 Bb4+ Bd2 Bxd2+ Qxd2 Nf6 O-O
