Event,Site,Date,Round,White,Black,Result,ECO,Moves
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Wahls, Matthias","Cela, Altin",1-0,A26,Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O d6 Nc3 e5 d3 h6 Rb1 a5 a3 Nc6 b4 axb4 axb4 Be6 b5 Ne7 Bb2 Qd7 Ra1 Bh3 Qb3 Qe6 Nd2 Bxg2 Kxg2 Nd7 Ra3 Rab8 Rfa1 f5 Ra7 e4 dxe4 Nc5 Qc2 fxe4 Nd1 Bxb2 Qxb2 Nf5 Qc3 Rbe8 Nb3 Nd3 h3 Nh4+ gxh4 Nf4+ Kf1 e3 Nxe3 Nxh3 Ke1 Nxf2 Ra8 Rxa8 Rxa8 Rxa8 Kxf2 Rf8+ Ke1 Qe4 Kd2 Qxh4 Qd3 Kg7 Nd4 Qh3 Nef5+ Qxf5 Nxf5+ Rxf5 Qd4+
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Andersson, Ulf","Mohamed, Esam Ahmed Nagib",1-0,B52,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Qxd7 O-O Nf6 Qe2 Nc6 Rd1 e6 d4 Nxd4 Nxd4 cxd4 Rxd4 Qc6 Rc4 Qd7 Nc3 Rc8 Rxc8+ Qxc8 Bf4 Qc6 Rd1 Be7 Nb5 e5 Nxa7 Qa4 Be3 O-O f3 Ra8 Nb5 Qxa2 c4 Ne8 h3 h6 Kh2 Rc8 Rc1 Nf6 Rc3 Nh5 Qc2 Qa5 g3 Nf6 Qd2 Qb4 b3 Ra8 Rd3 Qxd2+ Rxd2 Ne8 h4 Kf8 Kg2 Ra1 Rb2 h5 Nc3 Nc7 Ra2 Rxa2+ Nxa2 Ke8 Nc3 Kd7 Kf2 Na6 Nd5 Bd8 b4 Nc7 Nb6+ Ke6 Ke2 g6 Kd3 Na6 Nd5 Nc7 f4 exf4 Bxf4 Na6 Kc3 f6 Kd3 g5 Bd2 Nb8 Ne3 Nc6 Nf5 Ne5+ Kc3 Ng4 Be3 Nxe3 Nxe3 gxh4 gxh4 Ke5 Kd3 Bc7 Nf5 Bb6 Ne7 Bf2 Ng6+ Ke6 Ke2 Bg3 Kf3 Be1 Nf4+ Kf7 Nxh5 Bxh4 Nf4 Bg5 Kg4 Bxf4 Kxf4 Ke6 Ke3 Ke5 Kd3 b5 cxb5 d5 b6 dxe4+ Kc4 Kd6 Kb5 e3 Ka6 e2 b7 e1=Q b8=Q+ Kd7 Qb7+ Kd6 Qb6+ Kd7 Qd4+ Kc7 Qc5+ Kd7 b5 Qe4 Ka7 Qa4+ Kb7 Ke6 b6 Kf7 Kc7 Qf4+ Qd6 Qc4+ Qc6 Qf4+ Kc8 Kg6 b7 Qg4+ Kc7 Qf4+ Kc8 Qg4+ Qd7 Qc4+ Kd8 Qb4 Qd3+ Kf7 Qh7+
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Aleksandrov, Aleksej","Becerra Rivero, Julio",1-0,E73,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Be2 O-O Bg5 Na6 Qd2 c6 Nf3 Nc7 d5 cxd5 exd5 b5 cxb5 Bb7 Bc4 e6 O-O exd5 Bxd5 Ncxd5 Nxd5 Ne4 Bxd8 Nxd2 Ne7+ Kh8 Nxd2 Rfxd8 Nc4 d5 Na5 Rd7 Nec6 Bxb2 Rab1 Bc3 Rfd1 Bxc6 Nxc6 Re8 Rb3 d4 Kf1 Kg7 g3 Re6 Ra3 Rd5 Rxc3
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Antonio, Rogelio Jr","Kozak, Alexander",1-0,B23,e4 c5 Nc3 Nc6 f4 g6 Nf3 Bg7 Bb5 d6 Bxc6+ bxc6 d3 Nf6 O-O O-O Qe1 Rb8 Kh1 Ne8 Qh4 f5 e5 Nc7 b3 Ne6 Ne2 Rf7 Be3 Qc7 d4 Ba6 c4 d5 Rfc1 dxc4 bxc4 Rb2 d5 cxd5 cxd5 Bxe2 dxe6 Rf8 Bd4 Rb5 a4 Ra5 Nd2 Qb6 Bc3 Ra6 Qxe7 Qxe6 Qxc5 Rd8 Qf2 Bd3 Bd4 Qd7 Be3 Rxa4 Rxa4 Qxa4 Bxa7 g5 Be3 gxf4 Bxf4 Re8 Qg3 Qa6 h3 Re6 Qg5 h6 Qd8+ Kh7 Rc8 Be4 Qg8+
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Akesson, Ralf","Miles, Anthony J",1-0,A40,d4 e6 c4 b6 e4 Bb7 Nc3 Bb4 f3 e5 dxe5 Qh4+ g3 Bxc3+ bxc3 Qe7 Be3 Nc6 Ne2 Nxe5 Nd4 O-O-O Be2 g6 Kf2 f5 exf5 Nf6 Re1 gxf5 Qa4 c5 Qxa7 cxd4 cxd4 Rdf8 Bf4 Nc6 Qxb6 Qd8 Qb2 d6 Rab1 Rf7 Bd3 Nh5 Bxf5+ Kb8 Bd2 Rhf8 Be4 Qc8 Kg1 Nf6 Bf4 Nxe4 Rxe4 Ka8 Bxd6 Rd8 Bf4 Na7 d5 Rg8 Qa3 Qh3 Rbe1 Rff8 Re7 Rxf4 Re8+ Rxe8 Rxe8+ Bc8 gxf4 Qf5 Qe3 Qb1+ Kf2 Qxa2+ Qe2 Qa1 Qe5 Qa2+ Qe2 Qa1 Qe5 Qa2+ Kg3 Qxc4 d6 Qf7 f5 Qh5 Qe4+ Kb8 Qb4+ Ka8 d7
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Adianto, Utut","Fridman, Daniel",0-1,D90,d4 d5 c4 c6 Nc3 Nf6 cxd5 cxd5 Bf4 Nc6 e3 a6 Bd3 g6 h3 Bg7 Nf3 O-O O-O b5 Rc1 Bb7 a4 b4 Qb3 Qb6 Na2 Nd7 Rxc6 Bxc6 Qxb4 a5 Qa3 Rfe8 Nc3 Qb4 Qxb4 axb4 Nb5 Rxa4 Nc7 Rd8 Rc1 Bb7 Nd2 Ra2 Rc2 e5 Bg5 Rc8 Nb3 Nf8 Be7 exd4 exd4 Ne6 Bd6 Nxd4 Nxd4 Bxd4 Re2 Rxb2 Re7 Rxf2 Nb5 Rd2+ Nxd4 Rxd3 Nf3 Rd1+ Kh2 Bc6 Ne5 Rf1 Bxb4 Be8 Ng4 d4 Bd2 h5 Ne5 Rf2 Be1 Rfc2 Nd7 Bxd7 Rxd7 Re8 Bh4 Ree2 Bf6 Rxg2+ Kh1 Rh2+ Kg1 Rcg2+ Kf1 Rf2+
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Lautier, Joel","Kobese, Watu",1-0,E92,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 e5 Be3 Ng4 Bg5 f6 Bh4 Nc6 d5 Ne7 Nd2 Nh6 f3 c5 dxc6 bxc6 b4 Nf7 Nb3 Be6 Bf2 f5 O-O f4 Na5 Qc8 Qa4 Bd7 Rfd1 g5 c5 d5 exd5 cxd5 c6 Bxc6 Nxc6 Qxc6 Qxc6 Nxc6 Nxd5 Nd4 Bd3 Nd6 Rac1 Rf7 Bxd4 exd4 Rc6 Rd8 b5 Rb7 Nc7 Bf6 Ne6
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,Liang Chong,"Dizdar, Goran",1/2-1/2,A45,d4 Nf6 Bg5 Ne4 Bf4 d5 e3 c5 Bd3 Nc6 Bxe4 dxe4 d5 e5 Bg3 Ne7 Nc3 f6 Nxe4 Nxd5 Bxe5 Bf5 Ng3 Be6 e4 Nb4 Bc3 Qxd1+ Kxd1 Nxa2 N1e2 Nxc3+ Nxc3 O-O-O+ Ke2 a6 Rhd1 Bd6 Nd5 Rhe8 Kf1 Be5 c3 Bxg3 hxg3 f5 Ra5 fxe4 Rxc5+ Kb8 Ne3 Rxd1+ Nxd1 b6 Rg5 g6 Ne3 Bf7 Rg4 Re5 Rf4 Ba2 Ke1 a5 Kd2 Kb7 Kc2 Be6 Rf8 Kc6 Rh8 Rh5 Re8 Kd7 Rb8 Kc7 Re8 Kd7 Rb8 Kc7 Rf8 b5 Rf4 Re5 g4
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Nielsen, Peter Heine","Benjamin, Joel",1/2-1/2,E62,d4 d6 g3 g6 Bg2 Bg7 Nf3 Nf6 O-O O-O c4 c6 Nc3 Bf5 Ne1 Be6 d5 cxd5 cxd5 Bd7 h3 Na6 Nd3 Qa5 e4 Nb4 Nxb4 Qxb4 a3 Qa5 Be3 Rfc8 Qb3 Rc7 Rfc1 Be8 Bf1 Nd7 Qb4 Qxb4 axb4 a6 b5 Rb8 Na4 Rxc1 Rxc1 Nf6 f3 Bxb5 Bxb5 axb5 Nb6 Ne8 b3 f5 exf5 gxf5 Kf1 Kf7 Ke2 Nf6 g4 Ke8 gxf5 Kf7 Kd3 Nh5 Rg1 Bf6 Rg4 Ng7 Rb4 Nxf5 Rxb5 Rg8 Nc4 Rg3 Ke4 Kg6 Rxb7 Rxh3 b4 Ng3+ Kd3 Rh5 Nb6 Rf5 f4 h5 Ra7 h4 Ra2 Kh5 b5 h3 Kc4 Nf1 Bc1 e6 Rf2 Bd8 Rxf1 Bxb6 dxe6 Kg6 Re1 h2 e7 Rc5+ Kd3 Rc8 Rh1 Kf7 Be3 Bxe3 Kxe3 Rc2 b6 Rb2 b7 Rxb7 Rxh2 Rxe7+
FIDE-Wch k.o.,Las Vegas,1999.07.31,1.1,"Nisipeanu, Liviu Dieter","Djuric, Stefan",1-0,C41,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 g6 Be3 Bg7 Nc3 d6 Qd2 Nf6 f3 O-O O-O-O Nxd4 Bxd4 Be6 g4 c5 Be3 Qa5 a3 Rfe8 Nb5 Qb6 Qxd6 Rad8 Qxb6 Rxd1+ Kxd1 axb6 Kc1 Re7 h3 Bd7 Nc3 Be6 Bb5 Nd7 Rd1 Bxc3 bxc3 f6 Rd6 Kf7 f4 f5 gxf5 gxf5 e5 Nf8 Rxb6 Rc7 Be2 Nd7 Rd6 Nf8 Bf3 Ke7 Rb6 Bc8 Bd5 Ne6 c4 Nf8 a4 Ne6 a5 Nf8 Kd2 Ne6 Ke2 Nf8 Bf2 Ng6 Kf3 Nf8 Bh4+ Ke8 e6 h5 Rd6 Re7 Bxe7 Kxe7 Rb6 Nxe6 Bxe6 Bxe6 Rxb7+
