Event,Site,Date,Round,White,Black,Result,ECO,Moves
WCh-FIDE,San Luis ARG,2005.09.28,1,"Svidler,P","Adams,Mi",1/2-1/2,C42,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Nc6 O-O Be7 c4 Nb4 Be2 O-O a3 Nc6 cxd5 Qxd5 Nc3 Nxc3 bxc3 Na5 Rb1 a6 Ne5 Bf5 Bf3 Qe6 Rb2 Bxa3 Re2 Bxc1 Nc6 Qf6 Nxa5 Bf4 Nxb7 Rab8 Rfe1 g6 Ra2 c6 Nc5
WCh-FIDE,San Luis ARG,2005.09.28,1,"Polgar,Ju","Anand,V",0-1,B17,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nd7 Bd3 Ngf6 Nf3 Nxe4 Bxe4 Nf6 Bd3 Bg4 Be3 e6 c3 Bd6 h3 Bh5 Qe2 Qa5 a4 O-O Qc2 Bxf3 gxf3 Qh5 O-O-O Nd5 Kb1 b5 Rdg1 f6 axb5 cxb5 Bc1 Rab8 Qe2 Rfe8 Qe4 Kh8 h4 f5 Qe2 Qf7 Rg2 Bf4 Rhg1 Rg8 Be3 Qd7 Qd2 Bd6 Bc2 Qb7 Bg5 b4 c4 b3 Bd3 Bb4 Qe2 Qa6 Bh6 Nc3+ bxc3 Bxc3 Kc1 Qa3+ Kd1 Qa1+ Bc1 b2 Qe3 Bxd4 Qd2 bxc1=Q+ Qxc1 Qa2
WCh-FIDE,San Luis ARG,2005.09.28,1,"Leko,P","Topalov,V",0-1,B90,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 f3 e6 Be3 b5 Qd2 b4 Na4 Nbd7 O-O-O d5 exd5 Nxd5 Bc4 N7f6 Bg5 Qc7 Bxd5 Nxd5 Rhe1 Bb7 Qe2 Qd6 Kb1 h6 Bh4 Nf4 Qf2 Qc7 Nf5 g5 Bg3 Rc8 Qd4 Rg8 c3 Rd8 Qxd8+ Qxd8 Rxd8+ Kxd8 Ne3 Bc6 Nb6 bxc3 bxc3 Bg7 Bxf4 gxf4 Nd1 Bb5 a4 Bd3+ Kc1 Kc7 a5 Bh8 Kd2 Bb5 Rg1 Bc6 Ke2 Be5 c4 Bd4 Nf2 Bc3 Ne4 Bxa5 c5 f5
WCh-FIDE,San Luis ARG,2005.09.28,1,"Morozevich,A","Kasimdzhanov,R",1/2-1/2,B92,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e5 Nb3 Be7 O-O O-O Kh1 Nc6 f3 b5 Be3 Na5 Nxa5 Qxa5 Qd2 Qc7 a4 b4 Nd5 Nxd5 exd5 Bf5 Rfc1 Qa5 c4 bxc3 Rxc3 Rab8 Bc4 Bf6 b3 e4 Bd4 Bxd4 Qxd4 exf3 Rxf3 Bg6 Re3 Rfe8 h3 h6 Ra2 Rxe3 Qxe3 Ra8 Kh2 Kh7 Ra1 Kg8 Qf4 Rd8 Qd4 Re8 Rf1 Qb4 Rf4 Re5 Qf2 a5 Bd3 Qxb3 Bxg6 fxg6 Rf8+ Kh7 Rd8 Rf5 Qd4 Qxd5 Rxd6 Qxd4 Rxd4 g5 Kg3 h5 Rc4 Kh6 Rc6+ g6 Ra6 Rc5 Kh2 Kg7 g3 g4 hxg4 hxg4 Kg2 Re5 Kf2 Kf7 Ra7+ Kf6 Ra6+ Kf5 Rc6 Re4
WCh-FIDE,San Luis ARG,2005.09.29,2,"Adams,Mi","Polgar,Ju",1/2-1/2,B48,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6 Nc3 Qc7 Be3 a6 Bd3 b5 Nxc6 Qxc6 e5 Bb4 O-O f5 Be2 Bb7 Bh5+ g6 Bf3 Qc8 Bd2 Bxc3 Bxc3 Ne7 Bb4 Bxf3 Qxf3 Nd5 c3 Qc4 Rfd1 Qg4 Qd3 Kf7 h3 Qf4 Qe2 Qc4 Qf3 a5 Bd6 a4 Rd4 Qc6 Rad1 h6 R1d3 Kg7 Kh2 Rac8 Qg3 Kh7 Qh4 Rhg8 Rg3 g5 Qh5 Rg7 Qd1 Nf4 h4 Rh8 Kg1 Kg8 b3 axb3 axb3 Rhh7 h5 Rh8 Ba3 Kh7 Bc1 Nd5 c4 bxc4 bxc4 Nb6 Rd6 Qa4 Qxa4 Nxa4 Ra3 Nc5 Ra7 Rc8 Be3 f4 Bxc5
WCh-FIDE,San Luis ARG,2005.09.29,2,"Kasimdzhanov,R","Svidler,P",1/2-1/2,B06,e4 g6 d4 Bg7 Nc3 d6 f4 Nf6 Nf3 O-O Be3 b6 Qd2 Bb7 e5 Ng4 O-O-O c5 dxc5 bxc5 Bxc5 Qa5 Ba3 dxe5 Nd5 Qxd2+ Rxd2 Bxd5 Rxd5 Ne3 Rd2 Nc6 Bb5 Rfc8 Bxc6 Rxc6 Nxe5 Bxe5 fxe5 Nc4 Bxe7 Nxd2 Kxd2 Rb8 Kc1 Rc4 Bd6
WCh-FIDE,San Luis ARG,2005.09.29,2,"Topalov,V","Anand,V",1/2-1/2,E15,d4 Nf6 c4 e6 Nf3 b6 g3 Ba6 b3 Bb4+ Bd2 Be7 Bg2 c6 Bc3 d5 Ne5 Nfd7 Nxd7 Nxd7 Nd2 O-O O-O Rc8 e4 c5 exd5 exd5 dxc5 dxc4 c6 cxb3 Re1 b2 Bxb2 Nc5 Nc4 Bxc4 Qg4 Bg5 Qxc4 Nd3 Ba3 Nxe1 Rxe1 Re8 Rxe8+ Qxe8 Bd5 h5 Kg2 Be7 Bb2 Bf6 Bc1 Qe7 Be3 Rc7 h4 Be5 Qd3 Bd6 Bg5 Qe8 Qf3 b5 Be3 Qe5 Qd1 Qe8 Qxh5 Rxc6 Bxa7 Ra6 Bd4 Bf8 Be5 b4 Qf5 g6 Qf4 Qe7 Bd4 Ra5 Qf3 Bg7 Bb6 Rb5 Be3 Bc3 Bg5 Qa7 Qd3 Rb6 Be3 Qa6 Bxf7+ Kxf7 Qd7+ Kf8 Qd8+ Kf7 Qc7+ Kg8 Qxb6 Qxa2 Qxg6+ Kh8 Qc6 Qf7 g4 Bg7 h5 b3 Qe4 b2 h6 Bf6 Bd4 Kg8 Bxf6 Qxf6 Kg3 Qb6 Qc4+ Kh7 g5 Qg6 Qc7+ Kg8 Qb8+ Kf7 Qb7+ Kf8 Qb8+ Kf7 Qb3+ Kf8 Qf3+ Ke7 Qe3+ Kd7 Qd4+ Ke6 Qxb2 Qxg5+ Kf3 Qh5+ Ke4 Qf5+ Ke3 Qg5+ f4 Qg3+ Ke4 Qe1+ Kf3 Qf1+ Kg3 Qg1+ Qg2 Qb1 Qc6+ Kf7 Qd7+ Kf6 Qg7+ Ke6 Qe5+ Kf7 Qh5+ Kf6 Qg5+ Kf7 Qh5+ Kf6 Qh4+ Kf7 h7 Qe1+ Kg4 Qd1+ Kg5 Qd8+ Kh5 Qd5+ Qg5 Qh1+ Qh4 Qd5+ Kg4 Qd1+ Kg3 Qe1+
WCh-FIDE,San Luis ARG,2005.09.29,2,"Leko,P","Morozevich,A",1/2-1/2,B80,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 f3 e6 Be3 Be7 Qd2 O-O g4 Nc6 O-O-O Nd7 h4 Nde5 Qf2 Bd7 Kb1 Na5 g5 Nec4 Bc1 b5 f4 b4 Nce2 Qb6 Rh2 d5 exd5 Bc5 Qf3 Rad8 Nb3 Nxb3 axb3 Ne3 Bxe3 Bxe3 Rd3 Bc5 dxe6 Bxe6 Nc1 g6 Bh3 f5 gxf6 Bf7 f5 Bd4 fxg6 hxg6 Qg4 Bxf6 Re2 a5 Re4 Kg7 Qg3 Rh8 Bf5 Rh5 Rxd8 Qxd8 Be6 Bxh4 Qg2 Be8 Rg4 Re5 Bc4 Re1 Bd3 Qf6 Qd2 Qf2 Be2 Bf6 Rc4 Qg3 Rc7+ Qxc7 Qxe1 g5 Nd3 Bg6 Qg1 Qe7 Bg4 Qe4 Qg3 Bf7 Qh3 Bd5 Bf5 Qh4 Qe3 Qd4 Qg3 Bf7 Qg2 Qd5 Be4 Qe6 Nc5 Qd6 Nd3 Be6 Qh1 Qd4 Qh7+ Kf8 Bf5 Bf7 Qh6+ Ke7 Qh2 Qd6 Qh7 Qb8 Bg4 Kf8 Qh6+ Ke7 Qh7 Kf8 Qh6+ Ke7
WCh-FIDE,San Luis ARG,2005.09.30,3,"Anand,V","Adams,Mi",1-0,C92,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3 Bb7 d4 Re8 Nbd2 Bf8 a4 h6 Bc2 exd4 cxd4 Nb4 Bb1 c5 d5 Nd7 Ra3 c4 axb5 axb5 Nd4 Qb6 Nf5 Ne5 Rg3 g6 Nf3 Ned3 Qd2 Bxd5 Nxh6+ Bxh6 Qxh6 Qxf2+ Kh2 Nxe1 Nh4 Ned3 Nxg6 Qxg3+ Kxg3 fxg6 Qxg6+ Kf8 Qf6+ Kg8 Bh6
WCh-FIDE,San Luis ARG,2005.09.30,3,"Svidler,P","Leko,P",1-0,C88,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 O-O h3 Bb7 d3 Re8 a4 h6 Nc3 b4 Nd5 Na5 Ba2 Bc5 Bd2 Bxd5 Bxd5 Nxd5 exd5 Qf6 c3 bxc3 Bxc3 Qb6 Rxe5 Bxf2+ Kh1 d6 Rxe8+ Rxe8 b4 Nb7 Ra2 Bg3 Re2 Rd8 Nd4 a5 Nc6 Rf8 Bd4 Qa6 b5 Qa8 Re7 Be5 Nxe5 dxe5 Bxe5
