Event,Site,Date,Round,White,Black,Result,ECO,Moves
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Adams,Mi","Svidler,P",1/2-1/2,B90,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3 Nc6 f3 d5 Nxd5 Nxd5 exd5 Qxd5 Nxc6 Qxc6 Bd3 e5 Qd2 Qc7 O-O-O Be6 Kb1 Be7 Qf2 Qa5 b3 f5 Qe1 Qc7 Bd4 Bd6 f4 O-O-O fxe5 Bc5 Bxc5 Qxc5 Qg3 Rd7 Be2 Rc7 Rd2 Qc3 Qxc3 Rxc3 Bd3 Rd8 Rf2 g6 Re1 Rd4 g3 b5 Kb2 Rc5 a3 Kd7 b4 Rc7 Rf4 Rd5 Re3 Ke7 h4 h5 Re1 Bd7 Rf3 Bc6 Rfe3 Rd4 c3 Rg4 Rf1 Bd5 Rf4 Bc4 Bc2 Ke6 Bd1 g5 hxg5 Rxg5 Rd4 Rcg7 Rd6+
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Ivanchuk,V",Ye Jiangchuan,1-0,E97,d4 Nf6 c4 g6 Nc3 Bg7 Nf3 O-O e4 d6 Be2 e5 O-O Nc6 d5 Ne7 b4 a5 Ba3 b6 bxa5 Rxa5 Bb4 Ra8 a4 Re8 Qd3 Nd7 Qb1 Bh6 a5 Nc5 axb6 Rxa1 Qxa1 cxb6 Rb1 Qc7 Nb5 Qd8 Bxc5 bxc5 Qa7 Bg4 h3 Nc8 Qb8 Bxf3 Bxf3 Bg5 Ra1 h5 Ra6 Be7 Rc6 Rf8 Rc7 Bg5 Qb7 Bd2 h4 Ba5 Rc6 Be1 g3 Qa5 Kf1 Qd2 Be2 Ne7 Qxe7 Bxf2 Kxf2
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Ponomariov,R","Morozevich,A",1-0,C11,e4 e6 d4 d5 Nc3 Nf6 Bg5 dxe4 Nxe4 Be7 Bxf6 gxf6 Nf3 a6 Qe2 b5 g3 Bb7 Bg2 Bd5 c3 Nd7 b3 O-O O-O f5 Ned2 c5 c4 Bc6 Rad1 Rc8 d5 exd5 Qd3 bxc4 bxc4 Ba4 Rb1 dxc4 Qxf5 Rc6 Nxc4 Rf6 Qh5 Rg6 Rfe1 Bf6 Ne3 Bc3 Rec1 Bd4 Nf5 Qf6 N5xd4 cxd4 Qd5 Bc6 Qxd4 Bxf3 Qxd7 Bxg2 Kxg2 h5 Rb3 Qf4 Re3 h4 Rc6 hxg3 hxg3 Qh6 Rec3 Qh7 Rxg6+ fxg6 Rc7 Qxd7 Rxd7 Rf6 a4 Kf8 Ra7 Ke8 f4 g5 fxg5 Rg6 Kf3 Rxg5 Rxa6 Kf7 Rc6 Rd5 Rc4 Rd1 g4 Kf6 Ke4 Ke6 Rc6+ Kd7 Rc5 Kd6 Rb5 Kc6 Rf5 Kd6 a5 Ra1 Kf4 Ke6 Kg5 Ra4 a6 Ke7 Rf6 Rxg4+ Kxg4
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Lautier,J","Nikolic,Pr",1/2-1/2,E42,d4 Nf6 c4 e6 Nc3 Bb4 e3 c5 Ne2 cxd4 exd4 O-O a3 Be7 Nf4 d5 cxd5 Nxd5 Ncxd5 exd5 Bd3 Nc6 O-O Bf6 Be3 g6 Rc1 Bg7 Rc5 Ne7 Qb3 b6 Rc3 Qd6 Rfc1 Bxd4 Bxd4 Qxf4 Qb4 Nf5 Bf6 Qxb4 axb4 Bd7 Ba6 Rae8 Rc7 Ba4 Rxa7 Re6 Bc3 d4 Bd2 Nd6 h3 Rfe8 Bf4 b5 Rc5 Bb3 Bxb5 Nxb5 Rxb5 Re1+ Kh2 R1e2 Ra3 Be6 Rba5 Rxf2 Be5 Rxb2 Bxd4 Rxb4 Ra8 Bc8 Re3 Rf8 Bc5 Rc4 Bxf8 Kxf8 Raa3 Be6
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Bareev,E","Ehlvest,J",1-0,E11,d4 Nf6 c4 e6 Nf3 Bb4+ Nbd2 b6 a3 Bxd2+ Qxd2 O-O g3 Ba6 Qc2 Bb7 Bg2 d6 O-O Nbd7 b4 a6 Bb2 Be4 Qb3 b5 c5 a5 Rfc1 Qb8 Bf1 h6 Nd2 Bg6 e3 a4 Qd1 dxc5 dxc5 c6 Bg2 Nd5 e4 N5f6 f4 Qc7 Bf3 Rad8 Qe2 Kh8 Rd1 Ng8 Nf1 Ne7 Ne3 f6 Rd6 Nc8 Rd2 Rfe8 Rad1 Nf8 e5 Rxd2 Qxd2 f5 Qg2 Ne7 Rd6 Nd5 Nc2 Rd8 Nd4 Be8 Qe2 Ne7 Nxe6 Nxe6 Rxe6 Nc8 Bh5 Bd7 Rd6 Be8 Rxd8 Qxd8 e6
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Azmaiparashvili,Z","Gelfand,B",1/2-1/2,E05,d4 Nf6 Nf3 e6 g3 d5 Bg2 Be7 c4 O-O O-O dxc4 Qc2 a6 a4 Bd7 Qxc4 Bc6 Bg5 Bd5 Qc2 Be4 Qd1 h6 Bxf6 Bxf6 Nc3 Bxf3 Bxf3 c6 Qb3 Ra7 a5 Nd7 Rfd1 Qc7 Ne4 Be7 Nd2 Raa8 Nc4 Rad8 Rac1 Nf6 e4 Qb8 Kg2 c5 d5 exd5 exd5 Ne8 Qb6 Nd6 Qxc5 Rfe8 Qb6 Nxc4 Rxc4 Bd6 Rdc1 Re5 Bg4 f5 Bf3 Re7 R1c3 Kh7 h4 Rde8 h5 Qd8 Rc8 Qd7 Rxe8 Rxe8 Rb3 Re7 Qd4 Kg8 Rb6 Qd8 Qd3 Rf7 b4 Qd7 b5 axb5 Rxb5 Re7 Rb6 Rf7 Qe2 Re7 Qc4 Rf7 Qd3 Kh8 a6 bxa6 Qxa6 Rf6 Qa8+ Rf8 Qc6 Rd8 Rb7 Qe8 Qc3 Qf8 Qd4 Rb8 Rxb8 Qxb8 Bd1 Qb4 Qxb4 Bxb4 f4 Kg8 Bc2 Kf7 Bxf5 Kf6 Bc8 Bd6 Kf3 Bb8 Ke4 Bd6 g4 Bb8 f5 Ke7 Kd4 Bh2 Kc5 Bg3 Kc6 Bf4 Ba6 Be5 Bc8 Bf4 Be6 Be5 Bg8 Bf4 Be6 Be5 Bd7 Bf4 g5 Bxg5 d6+ Kd8
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Topalov,V","Shirov,A",1/2-1/2,C42,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Nc6 O-O Be7 c4 Nb4 Be2 O-O Nc3 Be6 Ne5 c5 Nxe4 dxe4 d5 Bc8 a3 Na6 Qc2 f6 Ng4 Bd6 f4 exf3 Bxf3 Qc7 g3 Bd7 Nf2 b5 b3 Rae8 Kg2 Be5 Rb1 Bd4 Bd2 b4 a4 Qc8 Rbe1 Bf5 Be4 Rxe4 Nxe4 Bh3+ Kh1 Bxf1 Rxf1 Qg4 Nd6 Rd8 Qf5 h5 Qxg4 hxg4 Nb5 Rd7 Bf4 Re7 Nxd4 cxd4 c5 g5 Bd6 Re3 c6 Kf7 Bb8 Nxb8 c7 Re8 cxb8=Q Rxb8 Rd1 f5 Rxd4 Kf6 Rc4 Ke5 Rc7 Kxd5 Rxa7 Rc8 Rd7+ Ke4 Rd1 Rc3 a5 Rxb3 a6 Ra3 Rb1 f4 Rxb4+ Ke3 Rb1 Rxa6 Rb3+ Ke2 Rb2+ Kd3 gxf4 gxf4 Rb4 Ra1+ Kg2 f3+ Kf2 Ra2+ Kg1 Rg2+ Kh1 Rd2 Kg1 Ke3 Rb3+ Rd3 Rb1 Rd4 Rb3+ Kf4 Rb8 Rd1+ Kf2 Rd2+ Kg1 Rg2+ Kh1 Re2 Kg1 Ke3 Re8+ Kd2 Ra8 Rg2+ Kh1 Ke3 Ra3+ Kf4 Ra4+ Kg5 Ra8 g3 hxg3 Kg4 Rg8+ Kh3 Rh8+
FIDE WCh KO,Moscow RUS,2001.11.03,4.1,"Dreev,A","Anand,V",1/2-1/2,E12,d4 Nf6 c4 e6 Nf3 b6 a3 Bb7 Nc3 d5 Bg5 Be7 Qa4+ Qd7 Qxd7+ Nbxd7 Nb5 Bd8 cxd5 Nxd5 e4 N5f6 Rc1
FIDE WCh KO,Moscow RUS,2001.11.27,1.1,"Nielsen,PH","Goldin,A",1-0,E05,d4 d5 c4 e6 Nf3 Nf6 g3 Be7 Bg2 O-O O-O dxc4 Qc2 a6 Qxc4 b5 Qc2 Bb7 Bd2 Be4 Qc1 Bb7 Bf4 Bd6 Nbd2 Nbd7 Nb3 Bd5 Rd1 Rc8 Nc5 Nxc5 dxc5 Bxf4 Qxf4 Qe7 Ne5 Qxc5 Rac1 Qe7 Nc6 Bxc6 Rxc6 Rfd8 Rdc1 h6 a3 e5 Qf5 e4 e3 Re8 Rxa6 c5 Rb6 Rcd8 Bf1 Rd5 Rxf6 Rxf5 Rxf5 b4 a4 g6 Rfxc5 Qf6 b3 Qb2 a5 Qxb3 a6 Qa3 Rb1 Rb8 Rc7 Qa5 Rbc1 Kg7 R1c5 Qa1 Kg2 Rb6 Rb7 Rf6 Rc2 Qb1 Rd2 b3 a7 Qa1 Bc4 Qc3 Bxf7 Rxf7 Rdd7
FIDE WCh KO,Moscow RUS,2001.11.27,1.1,"Kobalija,M","Aseev,K",1/2-1/2,C54,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d3 d6 Bb3 a6 Nbd2 Ba7 h3 O-O O-O Be6 Nc4 Bxc4 Bxc4 Na5 Bb3 Nxb3 Qxb3 Rb8 Bd2 Qd7 Rae1 Rfe8 Be3 Bxe3 Rxe3 Qe6 Qxe6 Rxe6 Rfe1 Rbe8 g3 g6 Kg2 Kg7 R3e2 c6 a4
